class,id,date,query,name,tweet,tweet_fr
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"- Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Vous devriez avoir David Carr du troisième jour pour le faire. ;D
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,est contrarié qu'il ne puisse pas mettre à jour son Facebook en le texto... et pourrait pleurer en conséquence École aujourd'hui aussi.
0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,I dived many times for the ball. Managed to save 50%  The rest go out of bounds,J'ai plongé plusieurs fois pour la balle. A réussi à économiser 50% Le reste sort des limites
0,1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,my whole body feels itchy and like its on fire,Tout mon corps se sent démangeant et comme sur le feu
0,1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,"no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.","Non, ça ne se passe pas du tout. Je suis en colère. Pourquoi suis-je ici ? Parce que je ne peux pas te voir partout."
0,1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,not the whole crew,pas toute l'équipage
0,1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,Need a hug,Besoin d'un câlin
0,1467811594,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,coZZ,"hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","Oui.. Pluie un peu, seulement un peu LOL, je vais bien merci, comment allez-vous ?"
0,1467811795,Mon Apr 06 22:20:05 PDT 2009,NO_QUERY,2Hood4Hollywood,nope they didn't have it,Ils ne l'avaient pas.
0,1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,que me muera ?,Qu'est-ce que je vais faire ?
